,frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
24,1.0,1,401.33,21.69,4.85,2.12,41.18,0.01,0.35,0.01,8.54,403.28,0.0,0.0,0.0,0.0,0,14,0,0,0,0,0,6,5
57,1.0,2,131.99,9.39,4.24,1.92,-32.29,-0.02,-0.18,-0.03,133.55,278.27,118.25,3.66,-17.27,-39.13,13,8,0,0,4,0,0,0,2
82,2.0,2,99.62,9.35,4.24,1.92,-32.41,-0.07,-0.08,-0.03,101.16,310.66,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
107,3.0,2,67.2,9.26,4.24,1.92,-32.5,-0.09,-0.12,0.01,68.72,343.1,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
132,4.0,2,34.66,9.19,4.24,1.92,-32.65,-0.04,-0.19,0.06,36.18,375.64,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
157,5.0,2,1.88,9.19,4.24,1.92,-32.86,0.04,-0.22,0.07,3.44,408.38,0.0,0.0,0.0,0.0,0,8,0,0,4,0,0,0,2
187,1.0,3,216.16,21.63,3.94,1.92,35.88,-0.03,0.2,-0.02,194.29,217.53,95.5,2.66,-16.09,41.81,14,7,0,0,0,10,0,11,5
212,2.0,3,252.16,21.58,3.94,1.92,36.05,-0.04,0.13,0.0,158.26,253.56,101.55,2.81,-16.38,42.24,14,7,0,0,0,6,10,11,5
237,3.0,3,288.28,21.55,3.94,1.92,36.14,-0.04,0.08,0.01,122.08,289.74,107.91,2.98,-16.33,42.74,14,7,0,0,0,6,0,10,5
262,4.0,3,324.47,21.52,3.94,1.92,36.22,-0.02,0.08,0.05,85.9,325.92,0.0,0.0,0.0,0.0,0,7,0,0,0,6,0,10,5
287,5.0,3,360.71,21.52,3.94,1.92,36.31,0.05,0.12,0.15,49.67,362.15,0.0,0.0,0.0,0.0,0,7,0,0,0,0,6,10,5
344,1.0,4,226.46,13.23,5.05,2.22,-42.8,0.12,-0.01,-0.03,228.4,183.42,0.0,0.0,0.0,0.0,0,5,0,0,0,8,0,9,3
369,2.0,4,183.64,13.34,5.05,2.22,-42.76,0.03,0.04,-0.11,185.6,226.22,0.0,0.0,0.0,0.0,0,5,0,0,0,8,0,9,3
394,3.0,4,140.97,13.29,5.05,2.22,-42.77,-0.1,-0.05,-0.07,142.95,268.87,0.0,0.0,0.0,0.0,0,5,0,0,0,2,8,9,3
419,4.0,4,98.19,13.17,5.05,2.22,-42.82,-0.13,-0.04,0.02,100.15,311.67,0.0,0.0,0.0,0.0,0,5,0,0,0,2,0,8,3
